f1v3n4e20,Y
1350.2844,1553.284973
1350.2227,1551.8074645000002
1349.9354,1550.329956
1349.1467,1554.910034
1349.5663,1546.560059
1349.0414,1565.599976
1348.7025,1570.0499676666666
1349.5504,1574.4999593333334
1351.2177,1578.949951
1351.8239,1586.390015
1352.7827,1596.050049
1353.3782,1603.709961
1354.2188,1606.790039
1355.7379,1604.6400146666667
1356.4713,1602.4899903333333
1356.3737,1600.339966
1355.9946,1600.339966
1356.3839,1616.369995
1357.0854,1625.290039
1358.4023,1626.630005
1359.9087,1630.233317
1360.33,1633.8366290000001
1360.5468,1637.439941
1361.0726,1625.23999
1360.8658,1627.609985
1360.3387,1628.219971
1360.0243,1626.930054
